Model,Fee,Model Year,Kilometer,Fuel,Transmission Type,Accident ,Security hw,# of interior equipment ,# of exterior eq,Horse Power,Engine Capacity
0,640000,2021,57000,0,1,0,8,6,3,5.3,1.0
0,697000,2021,198000,0,0,1,8,6,3,30.3,1.0
0,960000,2021,39000,0,0,1,10,10,4,30.3,1.0
0,917000,2021,31000,0,0,0,8,8,5,30.3,1.0
0,685000,2021,82000,0,1,0,8,6,3,12.3,1.0
0,927000,2021,91000,0,0,0,8,11,5,9.4,1.0
0,728000,2021,108000,0,0,2,10,8,2,30.3,1.0
0,775000,2021,17000,0,1,0,8,6,3,12.3,1.0
0,899000,2021,31000,0,0,0,8,10,6,30.3,1.0
0,637000,2021,89000,0,1,2,8,6,3,5.3,1.0
0,960000,2021,39000,0,0,0,10,10,4,30.3,1.0
0,643000,2022,59000,0,1,1,8,6,3,12.3,1.0
0,680000,2022,65000,0,0,2,8,6,3,30.3,1.0
0,769000,2022,78000,0,0,2,8,6,3,9.4,1.0
0,875000,2022,50000,0,0,1,8,6,3,30.3,1.0
0,875000,2022,52000,0,0,0,8,6,3,9.4,1.0
0,885000,2022,29000,0,0,0,8,6,3,30.3,1.0
0,837000,2022,70000,0,0,0,8,7,3,30.3,1.0
0,850000,2022,74000,0,0,0,8,6,3,9.4,1.0
0,800000,2022,45000,0,0,1,8,6,3,30.3,1.0
0,714000,2022,16000,0,1,0,8,6,3,5.3,1.0
0,609000,2022,98000,0,1,1,8,6,3,5.3,1.0
0,900000,2022,38000,0,0,0,10,9,3,30.3,1.0
0,627000,2022,46000,0,1,2,8,6,3,5.3,1.0
0,825000,2022,20000,0,0,2,8,6,3,9.4,1.0
0,935000,2022,14000,0,0,0,8,6,3,9.4,1.0
0,775000,2022,67000,0,0,2,8,6,3,30.3,1.0
0,865000,2022,62000,0,0,0,8,6,3,9.4,1.0
0,700000,2022,78000,0,1,2,8,6,3,5.3,1.0
0,879000,2022,85000,0,0,0,8,6,3,9.4,1.0
0,850000,2022,79000,0,0,0,8,8,5,30.3,1.0
0,740000,2022,64000,0,0,2,8,6,3,30.3,1.0
0,586000,2022,15000,0,0,2,8,8,5,9.4,1.0
0,740000,2022,15000,0,1,0,9,6,3,5.3,1.0
0,665000,2022,74000,0,1,1,10,8,3,9.4,1.0
