model,training_time,prediction_time
Linear Soft-Margin SVM,0.8595740795135498,3.886222839355469e-05
Scikit-learn Linear SVM,0.03386187553405762,0.0013010501861572266
Scikit-learn Polynomial SVM,0.02960681915283203,0.0011799335479736328
Scikit-learn RBF SVM,0.035794973373413086,0.0030820369720458984
