model,training_time,prediction_time
Linear Soft-Margin SVM,1.2023510932922363,3.981590270996094e-05
Scikit-learn Linear SVM,0.019168853759765625,0.0008590221405029297
Scikit-learn Polynomial SVM,0.004672050476074219,0.0009350776672363281
Scikit-learn RBF SVM,0.004701852798461914,0.0022079944610595703
